Num;Subj;sexe;age;category;tps;WB_score_mean
1;s1;m;10;1;t0;4.466666667
2;s2;f;10;1;t0;4.3
3;s3;f;10;1;t0;4.733333333
4;s4;m;10;1;t0;4.866666667
5;s5;m;10;1;t0;4
6;s6;m;11;1;t0;5.4
7;s7;m;10;1;t0;4.966666667
8;s8;f;10;1;t0;5.2
9;s9;f;10;1;t0;3.9
10;s10;m;11;1;t0;4.8
11;s11;m;10;1;t0;4.795168383
12;s12;f;11;1;t0;5.4
13;s13;f;11;1;t0;5.066666667
14;s14;m;12;1;t0;5.066666667
15;s15;m;12;1;t0;5.433333333
16;s16;f;11;1;t0;4.166666667
17;s17;f;11;1;t0;4.6
18;s18;m;11;1;t0;5.033333333
19;s19;m;12;1;t0;4.666666667
20;s20;f;11;1;t0;4.733333333
21;s21;f;12;1;t0;5.666666667
22;s22;f;11;1;t0;4.5
23;s23;f;12;1;t0;2.8
24;s24;m;12;1;t0;5.433333333
25;s25;f;12;1;t0;5.3
26;s26;f;12;1;t0;4
27;s27;f;12;1;t0;3.3
28;s28;f;11;1;t0;4.966666667
29;s29;m;12;1;t0;3.9
30;s30;m;12;1;t0;5.133333333
31;s31;f;12;1;t0;3.233333333
32;s32;m;12;1;t0;4.633333333
33;s33;m;11;1;t0;4.333333333
34;s34;f;11;1;t0;4.9
35;s35;f;11;1;t0;3.933333333
36;s36;m;10;2;t0;4.966666667
37;s37;m;11;2;t0;5.8
38;s38;m;10;2;t0;4.3
39;s39;m;10;2;t0;5.833333333
40;s40;m;11;2;t0;3.766666667
41;s41;m;11;2;t0;5.3
42;s42;m;10;2;t0;4.633333333
43;s43;f;11;2;t0;4.633333333
44;s44;m;10;2;t0;3.466666667
45;s45;f;10;2;t0;3.766666667
46;s46;m;10;2;t0;3.5
47;s47;m;11;2;t0;3.666666667
48;s48;m;11;2;t0;4.933333333
49;s49;f;11;2;t0;5.033333333
50;s50;m;10;2;t0;4.466666667
51;s51;m;11;2;t0;5.1
52;s52;f;11;2;t0;3.733333333
53;s53;m;10;2;t0;4.3
54;s54;m;11;2;t0;4.433333333
55;s55;f;12;2;t0;4.933333333
56;s56;m;11;2;t0;5.2
57;s57;m;11;2;t0;4.7
58;s58;m;11;2;t0;5.2
59;s59;m;11;2;t0;3.9
60;s60;m;11;2;t0;4.633333333
61;s61;f;11;2;t0;3.933333333
62;s62;m;11;2;t0;5.266666667
63;s63;m;11;2;t0;4.4
64;s64;m;11;2;t0;4.192192192
65;s65;f;11;2;t0;5.166666667
66;s66;f;12;2;t0;5.7
67;s67;f;12;2;t0;4.52012012
68;s68;m;11;2;t0;4.266666667
69;s69;m;12;2;t0;5.333333333
70;s70;f;12;2;t0;4.566666667
71;s71;f;12;2;t0;4.8
72;s72;m;12;2;t0;4.133333333
73;s73;f;13;2;t0;4.615015015
74;s74;m;12;2;t0;4.766666667
75;s75;m;12;2;t0;3.733333333
76;s76;f;11;2;t0;5.433333333
77;s77;f;12;2;t0;5.2
78;s78;f;11;3;t0;5.133333333
79;s79;m;11;3;t0;4.4
80;s80;m;12;3;t0;4.36577381
81;s81;f;12;3;t0;5.419227263
82;s82;f;12;3;t0;5.266666667
83;s83;m;11;3;t0;5.315015015
84;s84;f;11;3;t0;3.6
85;s85;m;12;3;t0;4.833333333
86;s86;m;12;3;t0;4.833333333
87;s87;f;12;3;t0;4.133333333
88;s88;m;12;3;t0;4.166666667
89;s89;f;12;3;t0;4.933333333
90;s90;m;11;3;t0;5.266666667
91;s91;m;11;3;t0;4.266666667
92;s92;m;12;3;t0;5.4
93;s93;f;10;3;t0;5.233333333
94;s94;f;11;3;t0;5.133333333
95;s95;f;11;3;t0;4.866666667
96;s96;f;10;3;t0;4.5
97;s97;m;11;3;t0;5.4
98;s98;m;11;3;t0;5.433333333
99;s99;f;11;3;t0;5.333333333
100;s100;m;11;3;t0;4.733333333
101;s101;f;10;3;t0;5.633333333
102;s102;m;10;3;t0;5.6
103;s103;m;10;3;t0;5.2
104;s104;m;10;3;t0;4.666666667
105;s105;m;10;3;t0;4.2
106;s106;m;11;3;t0;4.8
107;s107;f;11;3;t0;4.933333333
108;s108;m;12;3;t0;4.966666667
109;s109;f;11;3;t0;3.4
110;s110;f;11;3;t0;5.3
111;s111;f;11;3;t0;5.149404762
112;s112;f;11;3;t0;5.266666667
113;s113;m;11;3;t0;4.066666667
114;s1;m;10;1;t1;4.633333333
115;s2;f;10;1;t1;4.433333333
116;s3;f;10;1;t1;4.066666667
117;s4;m;10;1;t1;4.666666667
118;s5;m;10;1;t1;4.133333333
119;s6;m;11;1;t1;5.133333333
120;s7;m;10;1;t1;5.733333333
121;s8;f;10;1;t1;5.466666667
122;s9;f;10;1;t1;3.6
123;s10;m;11;1;t1;4.966666667
124;s11;m;10;1;t1;5.4
125;s12;f;11;1;t1;4.966666667
126;s13;f;11;1;t1;4.566666667
127;s14;m;12;1;t1;4.566666667
128;s15;m;12;1;t1;5.833333333
129;s16;f;11;1;t1;4.9
130;s17;f;11;1;t1;4.033333333
131;s18;m;11;1;t1;4.966666667
132;s19;m;12;1;t1;5.033333333
133;s20;f;11;1;t1;5.166666667
134;s21;f;12;1;t1;4.466666667
135;s22;f;11;1;t1;4.566666667
136;s23;f;12;1;t1;3.733333333
137;s24;m;12;1;t1;5.4
138;s25;f;12;1;t1;5.433333333
139;s26;f;12;1;t1;4.366666667
140;s27;f;12;1;t1;3.933333333
141;s28;f;11;1;t1;5.166666667
142;s29;m;12;1;t1;4.533333333
143;s30;m;12;1;t1;5.033333333
144;s31;f;12;1;t1;3.827327327
145;s32;m;12;1;t1;4.2
146;s33;m;11;1;t1;4.1
147;s34;f;11;1;t1;5.033333333
148;s35;f;11;1;t1;4.133333333
149;s36;m;10;2;t1;4.933333333
150;s37;m;11;2;t1;5.533333333
151;s38;m;10;2;t1;3.5
152;s39;m;10;2;t1;5.766666667
153;s40;m;11;2;t1;3.7
154;s41;m;11;2;t1;5.433333333
155;s42;m;10;2;t1;4.3
156;s43;f;11;2;t1;4.733333333
157;s44;m;10;2;t1;3.633333333
158;s45;f;10;2;t1;4.233333333
159;s46;m;10;2;t1;3.966666667
160;s47;m;11;2;t1;4.466666667
161;s48;m;11;2;t1;4.766666667
162;s49;f;11;2;t1;4.366666667
163;s50;m;10;2;t1;4.733333333
164;s51;m;11;2;t1;5
165;s52;f;11;2;t1;3.7
166;s53;m;10;2;t1;4.7
167;s54;m;11;2;t1;4.6
168;s55;f;12;2;t1;4.8
169;s56;m;11;2;t1;5.333333333
170;s57;m;11;2;t1;4.733333333
171;s58;m;11;2;t1;5.586666667
172;s59;m;11;2;t1;4.1
173;s60;m;11;2;t1;4.066666667
174;s61;f;11;2;t1;5.493993994
175;s62;m;11;2;t1;5.033333333
176;s63;m;11;2;t1;4.733333333
177;s64;m;11;2;t1;4.233333333
178;s65;f;11;2;t1;5.066666667
179;s66;f;12;2;t1;5.833333333
180;s67;f;12;2;t1;4.466666667
181;s68;m;11;2;t1;5.8
182;s69;m;12;2;t1;3.266666667
183;s70;f;12;2;t1;5.236369096
184;s71;f;12;2;t1;5.4
185;s72;m;12;2;t1;4.583636364
186;s73;f;13;2;t1;4.2
187;s74;m;12;2;t1;5.266666667
188;s75;m;12;2;t1;5.5
189;s76;f;11;2;t1;5.8
190;s77;f;12;2;t1;5.336369096
191;s78;f;11;3;t1;5.366666667
192;s79;m;11;3;t1;4.666666667
193;s80;m;12;3;t1;4.166666667
194;s81;f;12;3;t1;5.533333333
195;s82;f;12;3;t1;5.433333333
196;s83;m;11;3;t1;5.566666667
197;s84;f;11;3;t1;3.766666667
198;s85;m;12;3;t1;5.1
199;s86;m;12;3;t1;4.3
200;s87;f;12;3;t1;4.833333333
201;s88;m;12;3;t1;4.8
202;s89;f;12;3;t1;5.266666667
203;s90;m;11;3;t1;4.933333333
204;s91;m;11;3;t1;4.5
205;s92;m;12;3;t1;5.566666667
206;s93;f;10;3;t1;5.466666667
207;s94;f;11;3;t1;4.766666667
208;s95;f;11;3;t1;5.066666667
209;s96;f;10;3;t1;5
210;s97;m;11;3;t1;5.8
211;s98;m;11;3;t1;4.9
212;s99;f;11;3;t1;4.8
213;s100;m;11;3;t1;4.6
214;s101;f;10;3;t1;5.433333333
215;s102;m;10;3;t1;5.8
216;s103;m;10;3;t1;5.366666667
217;s104;m;10;3;t1;4.566666667
218;s105;m;10;3;t1;4.466666667
219;s106;m;11;3;t1;4.9
220;s107;f;11;3;t1;5.3
221;s108;m;12;3;t1;4.633333333
222;s109;f;11;3;t1;5.233333333
223;s110;f;11;3;t1;5.2
224;s111;f;11;3;t1;5.466666667
225;s112;f;11;3;t1;5.266666667
226;s113;m;11;3;t1;4.833333333
